#        Em_x_FC[n.u.]          Em_y_FC[n.u.]          Em_z_FC[n.u.]          En_x_FC[n.u.]          En_y_FC[n.u.]          En_z_FC[n.u.]
 1.725416728524601e-01 -7.224871572844436e-01 -6.695085351870567e-01  2.916906607646944e-01  6.140118174771207e-01 -7.334207840122197e-01
-7.076571245357641e-02  1.593175885790026e-02  9.973657268026767e-01 -9.655088037594715e-01  2.402528664499887e-01 -1.003559167439489e-01
 1.348168690413628e-02  3.639344803015392e-02  9.992465967210973e-01  9.597752999001796e-01 -2.663689995695531e-01  8.876333572954231e-02
 1.033757377315305e-02  1.595513531744061e-01 -9.871355024862091e-01  1.656677786755297e-01  2.767619684390140e-01 -9.465500514682137e-01
-7.166196871578796e-01 -1.080071554925739e-01  6.890505629778889e-01  5.760420586423914e-03 -9.326015031194597e-02  9.956251111329307e-01
-2.949369000687060e-02 -8.376773449592308e-02  9.960487382187677e-01 -6.188795399209157e-01 -5.866449289495801e-01 -5.223369050766161e-01
 3.371087529930520e-01 -1.960286858799610e-01 -9.208313868280366e-01 -1.408792485454986e-01  1.739189021649926e-01 -9.746308289803782e-01
 5.397795066899891e-01  3.665967800245684e-01 -7.577894727647847e-01  2.971929230166202e-02 -2.124990818679447e-01 -9.767092217596642e-01
 1.512725049182227e-01  3.497649611242072e-01  9.245437259673271e-01  2.859501313531437e-01 -1.135332637307772e-01 -9.514949923177514e-01
 2.521578291971092e-03  3.829541667553769e-02 -9.992632799740839e-01  7.023110119181726e-02 -4.228601031513826e-01  9.034693827619100e-01
 4.596063519024347e-01 -2.401042150343656e-01  8.550508565071826e-01 -4.005220020975235e-02  1.593686962818237e-01 -9.864063259650101e-01
 8.365766242234252e-01 -5.952676575163506e-02  5.446063862663455e-01  7.233657705765199e-02  6.464672973469990e-01  7.595047419736425e-01
 4.152662076500793e-01  8.965870678611045e-01 -1.539012882601973e-01  4.012325657658325e-01  8.943687031068686e-01 -1.977803101218747e-01
-5.128353536578915e-01  6.527936706496447e-01 -5.575484943916077e-01  5.220537801043356e-01  7.554993919976791e-01  3.958289016354306e-01
-1.139522687229184e-01 -9.384772252087632e-01 -3.259990463442494e-01 -1.973446074162034e-02 -5.283747281942950e-02 -9.984081092044943e-01
